date_time,minute,open,high,low,close,volume
2008.03.22,21:00,1231.50,1357.00,1217.25,1266.00,24501
2008.03.29,21:00,1280.75,1299.75,1106.50,1277.25,38301
2008.04.05,21:00,1270.50,1380.00,1245.00,1333.00,20751
2008.04.12,21:00,1348.75,1397.75,1316.00,1362.75,14951
2008.04.19,21:00,1350.50,1395.25,1290.00,1326.00,18601
2008.04.26,21:00,1329.50,1344.25,1225.75,1292.00,19951
2008.05.03,21:00,1282.50,1354.00,1263.50,1347.75,11576
2008.05.10,21:00,1357.75,1400.75,1311.00,1376.25,16101
2008.05.17,21:00,1367.25,1371.25,1312.50,1366.75,11701
2008.05.24,21:00,1378.75,1389.25,1307.75,1363.50,14776
2008.05.31,21:00,1367.50,1487.50,1346.50,1454.50,19501
2008.06.07,21:00,1464.50,1571.50,1419.00,1560.00,20951
2008.06.14,21:00,1574.00,1588.25,1515.00,1528.75,10126
2008.06.21,21:00,1518.00,1591.50,1489.75,1583.25,13826
2008.06.28,21:00,1572.00,1642.00,1536.75,1633.75,14876
2008.07.05,21:00,1602.50,1626.00,1491.75,1601.50,26751
2008.07.12,21:00,1575.00,1589.50,1457.00,1460.00,15001
2008.07.19,21:00,1446.25,1451.75,1358.00,1387.50,12876
2008.07.26,21:00,1419.00,1422.00,1353.00,1358.00,7701
2008.08.02,21:00,1334.25,1337.00,1169.75,1178.75,17901
2008.08.09,21:00,1183.75,1294.75,1162.75,1208.25,23951
2008.08.16,21:00,1245.00,1339.25,1235.50,1322.50,13001
2008.08.23,21:00,1355.25,1364.50,1299.25,1332.50,10776
2008.08.30,21:00,1256.25,1313.25,1166.75,1180.00,21676
2008.09.06,21:00,1193.00,1221.50,1157.00,1202.75,11926
2008.09.13,21:00,1193.50,1206.75,1099.50,1145.75,16676
2008.09.20,21:00,1146.00,1211.75,1144.25,1165.75,11526
2008.09.27,21:00,1143.00,1148.25,991.25,992.50,16351
2008.10.04,21:00,959.50,989.50,909.00,909.75,11126
2008.10.11,21:00,900.75,957.75,824.75,887.75,25301
2008.10.18,21:00,919.00,941.25,844.50,868.00,14251
2008.10.25,21:00,867.25,963.50,851.00,916.00,17626
2008.11.01,21:00,925.00,981.25,882.50,922.25,19476
2008.11.08,21:00,951.75,951.75,872.50,894.00,10076
2008.11.15,21:00,895.50,920.75,835.25,838.50,11401
2008.11.22,21:00,847.00,899.50,841.25,880.75,8276
2008.11.29,21:00,874.25,878.00,776.50,788.00,11676
2008.12.06,21:00,793.50,865.25,790.00,855.75,8826
2008.12.13,21:00,862.50,877.00,840.00,868.75,6776
2008.12.20,21:00,869.75,962.50,869.00,951.25,10551
2008.12.27,21:00,972.75,985.25,930.00,967.00,10476
2009.01.03,21:00,971.25,1039.75,965.25,1035.25,8501
2009.01.10,21:00,1040.50,1059.50,958.25,1018.50,18051
2009.01.17,21:00,1019.25,1035.25,977.50,1008.00,10426
2009.01.24,21:00,998.00,1040.75,965.00,980.50,13401
2009.01.31,21:00,968.50,1007.25,934.75,999.75,11376
2009.02.07,21:00,994.75,1018.75,955.00,956.50,8926
2009.02.14,21:00,955.50,955.75,853.75,864.75,11326
2009.02.21,21:00,866.25,893.50,850.50,874.25,7801
2009.02.28,21:00,870.25,878.25,838.25,867.75,7751
2009.03.07,21:00,874.00,893.75,857.25,877.50,6951
2009.03.14,21:00,869.25,952.50,869.00,951.50,8476
2009.03.21,21:00,958.50,981.00,916.25,916.50,8751
2009.03.28,21:00,917.50,997.25,897.00,996.00,12201
2009.04.04,21:00,992.50,1030.25,981.50,1007.50,8251
2009.04.11,21:00,1000.75,1072.75,998.25,1050.50,9926
2009.04.18,21:00,1062.75,1063.50,1012.75,1038.50,7726
2009.04.25,21:00,1023.25,1104.75,984.50,1102.75,16101
2009.05.02,21:00,1090.75,1130.75,1085.50,1108.25,7301
2009.05.09,21:00,1105.75,1155.75,1086.50,1125.50,11876
2009.05.16,21:00,1126.75,1188.00,1113.75,1164.75,11051
2009.05.23,21:00,1157.75,1200.50,1154.25,1185.50,6476
2009.05.30,21:00,1196.75,1236.50,1177.75,1225.25,8901
2009.06.06,21:00,1235.00,1291.00,1216.00,1245.75,13926
2009.06.13,21:00,1249.75,1249.75,1175.25,1179.75,7901
2009.06.20,21:00,1174.25,1209.25,1150.50,1199.75,9201
2009.06.27,21:00,1206.00,1264.50,1186.75,1239.25,12226
2009.07.04,21:00,1139.50,1147.00,999.25,1043.50,19951
2009.07.11,21:00,1053.00,1063.25,970.00,1008.00,14151
2009.07.18,21:00,1009.00,1039.25,1005.25,1020.25,5676
2009.07.25,21:00,1013.75,1138.75,1012.50,1134.00,13226
2009.08.01,21:00,1079.50,1103.25,1062.75,1089.25,7126
2009.08.08,21:00,1079.00,1112.00,1018.50,1023.00,13101
2009.08.15,21:00,1018.50,1035.25,977.00,1024.75,11026
2009.08.22,21:00,1041.75,1164.25,1041.00,1135.25,15301
2009.08.29,21:00,1010.25,1018.50,920.75,920.75,10601
2009.09.05,21:00,915.25,942.75,897.50,900.00,7526
2009.09.12,21:00,900.25,977.50,892.75,938.75,13101
2009.09.19,21:00,935.50,939.25,902.00,927.50,6651
2009.09.26,21:00,933.50,933.75,885.25,886.75,5026
2009.10.03,21:00,881.75,968.25,879.00,966.00,9426
2009.10.10,21:00,972.50,1008.50,970.00,978.25,7126
2009.10.17,21:00,983.00,1027.75,972.50,1009.25,8426
2009.10.24,21:00,1010.50,1019.25,959.00,977.25,8726
2009.10.31,21:00,968.25,1022.25,955.25,956.50,12226
2009.11.07,21:00,954.00,1008.75,952.50,985.00,8151
2009.11.14,21:00,997.25,1049.75,991.25,1044.75,6951
2009.11.21,21:00,1051.25,1066.00,1021.00,1052.75,8851
2009.11.28,21:00,1060.00,1078.25,1031.00,1045.00,7951
2009.12.05,21:00,1041.75,1063.75,1019.00,1034.25,8201
2009.12.12,21:00,1037.25,1069.50,1008.00,1011.25,9701
2009.12.19,21:00,1012.50,1019.75,984.50,1001.00,5901
2009.12.26,21:00,1002.75,1050.50,1001.50,1048.50,5226
2010.01.02,21:00,1046.25,1065.25,1004.50,1009.75,8501
2010.01.09,21:00,1026.00,1032.50,969.25,973.50,7401
2010.01.16,21:00,977.25,983.50,940.75,950.00,5826
2010.01.23,21:00,952.50,955.75,913.75,915.50,4701
2010.01.30,21:00,919.25,933.75,900.00,916.25,6451
2010.02.06,21:00,925.50,950.25,918.75,946.00,4251
2010.02.13,21:00,950.25,965.75,934.25,945.25,5801
2010.02.20,21:00,950.25,978.50,934.75,952.00,8576
2010.02.27,21:00,956.75,962.00,927.75,935.75,4751
2010.03.06,21:00,945.00,964.25,923.00,924.50,6201
2010.03.13,21:00,923.25,963.50,920.75,961.25,4751
2010.03.20,21:00,961.25,976.25,941.75,953.50,6126
2010.03.27,21:00,954.00,977.25,930.50,942.00,8151
2010.04.03,21:00,942.00,963.75,932.50,953.25,5126
